"sample_id","subject_id","survey_timestamp","check_point","class"
"973_1","973",2022-12-02 09:29:30,"1","Subject"
"976_1","976",2022-12-04 09:06:30,"1","Subject"
"979_1","979",2022-11-30 19:32:30,"1","Subject"
"982_1","982",2022-11-30 17:53:00,"1","Subject"
"985_1","985",2022-11-30 18:01:00,"1","Subject"
"987_1","987",2022-12-01 18:54:00,"1","Subject"
"989_1","989",2022-12-01 10:38:30,"1","Subject"
"990_1","990",2022-11-30 20:40:00,"1","Subject"
"991_1","991",2022-12-02 10:38:00,"1","Subject"
"999_1","999",2022-11-30 23:25:30,"1","Subject"
"1002_1","1002",2022-11-30 12:28:00,"1","Subject"
"1004_1","1004",2022-12-01 18:02:00,"1","Subject"
